startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
0,9,False,False,56,103,1650218520,1650253080,21900,0,2051,340,310.7,357.6
7,13,False,False,7,43,1650191400,1650217200,13500,0,919,330,174.88,210.1
5,13,False,True,23,164,1650244500,1650249300,4800,0,240,167,155.35,181.6
13,10,False,True,20,164,1650245400,1650253140,7740,0,720,330,141.4,166.61
10,4,False,False,56,167,1650228780,1650254640,19200,0,1519,256,320.0,367.6
10,9,False,False,7,167,1650231000,1650261060,26220,0,2465,178,327.44,375.6
12,0,False,False,37,125,1650204600,1650249720,24120,0,2393,237,528.37,596.1
15,5,False,False,15,11,1650263340,1650309240,22800,1,2652,292,666.05,745.2
13,3,False,False,56,103,1650203400,1650233640,19860,0,1809,343,213.95,253.6
0,4,False,False,56,103,1650210300,1650234780,13140,0,924,373,174.88,211.6
6,9,False,True,4,164,1650204600,1650226440,21840,0,2458,394,686.58,752.67
2,15,False,False,30,155,1650195360,1650226920,25440,0,2516,121,303.26,348.11
5,4,False,False,56,167,1650189600,1650207480,14760,0,1039,340,262.33,305.61
0,7,False,False,32,197,1650252000,1650293340,16080,1,1078,314,304.18,360.69
9,6,False,True,46,164,1650237300,1650256200,18900,1,2458,354,327.44,366.6
9,11,False,False,45,155,1650242700,1650295620,25020,1,3037,79,249.3,297.2
8,0,False,True,23,164,1650244800,1650254340,9540,0,762,16,431.63,478.6
9,13,False,False,7,117,1650250920,1650277200,16920,1,1750,180,322.79,370.6
0,3,False,False,7,68,1650197100,1650223980,16800,0,1375,152,262.33,305.61
2,0,False,False,7,151,1650233340,1650255360,15720,1,1248,178,357.21,406.1
15,2,False,False,16,12,1650263340,1650303120,24660,1,2536,292,524.66,592.11
15,5,False,False,17,80,1650260400,1650303180,26880,1,3051,363,535.81,605.2
0,15,False,False,7,43,1650198000,1650231300,26040,0,2520,332,322.79,369.1
14,9,False,False,7,167,1650207000,1650243120,24780,0,2417,177,322.79,370.6
1,3,False,False,30,232,1650200400,1650230400,24600,0,2480,121,278.14,322.6
8,1,False,False,35,94,1650221700,1650254220,11280,0,627,232,449.3,512.2
4,15,False,False,7,119,1650196800,1650218340,17400,0,1577,157,254.88,297.6
14,0,False,True,23,164,1650232620,1650240420,7800,0,667,236,245.58,278.6
