startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
ATL,CLT,FALSE,FALSE,UA||UA,EWR,1650231840,1650252960,16020,0,1307,QAA0JHES,436.28,492.6
ATL,CLT,FALSE,FALSE,UA||UA,EWR,1650222480,1650252960,16740,0,1307,QAA0JHES,436.28,492.6
ATL,CLT,FALSE,FALSE,UA||UA,EWR,1650217680,1650252960,15780,0,1307,QAA0JHES,436.28,498.2
ATL,CLT,FALSE,FALSE,UA||UA,EWR,1650209100,1650252960,15720,0,1307,QAA0JHES,436.28,498.2
ATL,CLT,FALSE,FALSE,B6||B6,BOS,1650206700,1650238380,18360,0,1675,VH0AUEL1,482.79,542.6
ATL,CLT,FALSE,TRUE,AA,NONE,1650218400,1650223560,5160,0,228,H0APZNN1,506.98,559.6
ATL,CLT,FALSE,FALSE,AA||AA,LGA,1650240600,1650283800,16320,1,1307,V0AJZSN1,528.37,597.2
ATL,DEN,FALSE,TRUE,F9,NONE,1650250740,1650263220,12480,1,1207,D00YXS2,111.05,133.98
ATL,DEN,FALSE,TRUE,DL,NONE,1650214080,1650225600,11520,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650217740,1650229380,11640,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650237660,1650249480,11820,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650232680,1650244500,11820,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,UA,NONE,1650228240,1650240060,11820,0,1207,VAA0AKEN,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650198120,1650210000,11880,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650224520,1650236460,11940,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650246000,1650258000,12000,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,DL,NONE,1650209640,1650221700,12060,0,1207,QA0NA0MQ,262.33,296.61
ATL,DEN,FALSE,TRUE,UA,NONE,1650200400,1650212460,12060,0,1207,VAA0AKEN,262.33,296.61
ATL,DEN,FALSE,TRUE,UA,NONE,1650216900,1650229200,12300,0,1207,VAA0AKEN,262.33,296.61
ATL,DEN,FALSE,FALSE,AA||AA,CLT,1650207720,1650227940,18060,0,1574,L0AHZNN1,262.33,304.11
ATL,DEN,FALSE,FALSE,AA||AA,CLT,1650193200,1650214800,18360,0,1574,L0AHZNN1,262.33,304.11
ATL,DEN,FALSE,FALSE,AA||AA,CLT,1650193200,1650223320,18480,0,1574,L0AHZNN1,262.33,304.11
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650219600,1650238920,16620,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650213060,1650232440,16440,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650197100,1650217620,16920,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650189900,1650211260,16200,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,ORD,1650232800,1650255900,17460,0,1503,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAH,1650236220,1650259560,17580,0,1567,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAH,1650210300,1650233640,18240,0,1567,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAD,1650187800,1650211920,20580,0,2014,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650213060,1650238920,16500,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650219600,1650246300,16320,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650197100,1650223980,16800,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAH,1650218520,1650246000,17820,0,1567,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,AA||AA,DFW,1650189900,1650217620,16200,0,1375,L0AHZNN1,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,EWR,1650231840,1650262560,24840,1,2383,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAD,1650187800,1650220260,20640,0,2014,VAA0AKEN,262.33,305.61
ATL,DEN,FALSE,FALSE,UA||UA,IAD,1650202200,1650227760,20820,0,2014,HAA0OKEN,357.21,407.6
ATL,DEN,FALSE,FALSE,F9||F9,MCO,1650189600,1650216300,20640,0,1948,H01PXP5,493.4,554.01
ATL,DFW,FALSE,TRUE,DL,NONE,1650198600,1650206580,7980,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650227940,1650236040,8100,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650221820,1650229980,8160,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650206580,1650214740,8160,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650250740,1650259020,8280,1,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650219540,1650228000,8460,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650226800,1650235260,8460,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650208680,1650217200,8520,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650200280,1650208800,8520,0,725,LA0NX0MQ,174.88,202.6
ATL,DFW,FALSE,TRUE,AA,NONE,1650189900,1650198480,8580,0,725,V0AHZNN1,174.88,202.6
ATL,DFW,FALSE,TRUE,AA,NONE,1650213060,1650222000,8940,0,725,V0AHZNN1,174.88,202.6
ATL,DFW,FALSE,TRUE,AA,NONE,1650234300,1650243300,9000,0,725,V0AHZNN1,174.88,202.6
ATL,DFW,FALSE,TRUE,AA,NONE,1650219600,1650228660,9060,0,725,V0AHZNN1,174.88,202.6
ATL,DFW,FALSE,TRUE,AA,NONE,1650197100,1650206400,9300,0,725,V0AHZNN1,174.88,202.6
ATL,DFW,FALSE,FALSE,AA||AA,CLT,1650193200,1650213360,16020,0,1158,V0AHZNN1,174.88,210.1
